,student_id,name,class,gpa,is_greek,is_on_campus,distance_to_campus,is_female,is_sprinklered,claim_id,risk_tier,holdout,Business,Humanities,Other,Science,amount
6371,1590,"Featherston, Jessica",4,2.985850116,0,0,0.0,1.0,1,0,3,1,0,0,1,0,0.0
6375,1591,"Mason, Ashley",4,3.0288338,0,0,0.0,0.0,1,0,3,1,0,0,0,1,0.0
6376,1592,"Seefried, Eric",4,2.427871959,0,0,0.0,0.0,1,302,3,0,0,1,0,0,571.6938309
6383,1593,"Smith, Z'Reya",2,3.038777783,0,1,4.599478882,1.0,1,0,1,0,0,1,0,0,0.0
6387,1594,"Chase, So Min",4,3.142221088,0,0,0.0,1.0,0,0,3,0,0,0,0,1,0.0
6391,1595,"Vinson, Derek",2,2.210569205,0,1,8.965318121,1.0,0,0,1,0,1,0,0,0,0.0
6395,1596,"el-Hossain, Mu'hsina",3,1.687994591,1,0,0.0,1.0,1,0,2,0,0,0,0,1,0.0
6396,1597,"al-Zaidi, Raadiya",4,2.463039061,0,0,0.0,1.0,1,303,3,0,0,0,0,1,723.2550213
6403,1598,"Cuntz, Benjamin",4,1.011612279,0,0,0.0,1.0,0,0,3,1,0,0,1,0,0.0
6407,1599,"Williams, Janelle",3,2.376334274,1,0,0.0,1.0,1,0,2,0,0,0,0,1,0.0
6411,1600,"el-Jabour, Hafsa",4,3.627884003,0,1,0.821707289,1.0,1,0,3,0,0,0,1,0,0.0
6415,1601,"Shrader, Daniel",5,3.325859339,0,1,4.875811569,0.0,1,0,3,1,0,0,0,1,0.0
6419,1602,"Trofi, Kelly",1,1.908958192,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
6423,1603,"Pronteau, Steven",3,1.348363303,0,0,0.0,0.0,1,0,2,0,0,0,0,1,0.0
6427,1604,"Tharaldson, Caitlin",4,2.616208552,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
6431,1605,"Jiang, Alexandra",4,1.879871519,0,0,0.0,1.0,1,0,3,0,0,1,0,0,0.0
6435,1606,"Montoya, Isaiah",4,2.58455454,0,0,0.0,0.0,1,0,3,1,0,0,0,1,0.0
6439,1607,"Hayes, Kayla",4,3.675594836,0,0,0.0,0.0,1,0,3,1,0,1,0,0,0.0
6443,1608,"Mose, Jalaka",2,2.480433534,0,0,0.0,1.0,0,0,1,0,1,0,0,0,0.0
6447,1609,"Chandler, Shem",2,3.56092707,0,0,0.0,,1,0,1,0,0,1,0,0,0.0
6451,1610,"Mandell, Damon",1,2.640526568,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
6455,1611,"Maestas, Christiana",1,0.563467066,0,1,0.715106204,0.0,1,0,1,0,0,0,0,1,0.0
6459,1612,"Millard, Laura",4,3.953562724,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
6463,1613,"Whitehorse, Autumn",3,2.727872974,0,0,0.0,0.0,1,0,2,0,1,0,0,0,0.0
6467,1614,"Yohannes, Romelia",3,3.054150339,0,1,5.733641587,0.0,0,0,2,0,0,1,0,0,0.0
6471,1615,"el-Mirza, Uwais",1,0.332138974,0,0,0.0,,1,0,1,0,0,1,0,0,0.0
6475,1616,"Baker, Lisa",2,1.012610227,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
6479,1617,"Williams, Vincent",4,1.838497517,0,0,0.0,1.0,0,0,3,1,1,0,0,0,0.0
6483,1618,"Harris, Leilani",4,1.454022955,0,1,4.318870451,1.0,0,0,3,1,1,0,0,0,0.0
6484,1619,"el-Shaheed, Jiyaad",4,0.230754927,0,0,0.0,0.0,1,305,3,1,1,0,0,0,692.0484245
6491,1620,"al-Siddiqui, Taaha",3,2.402394756,0,0,0.0,1.0,1,0,2,0,0,0,0,1,0.0
6495,1621,"Little, Menandez",5,0.506135015,1,0,0.0,1.0,1,0,3,1,0,1,0,0,0.0
6499,1622,"Weingardt, Garet",4,2.932753984,1,1,2.457878169,0.0,0,0,3,0,0,1,0,0,0.0
6500,1623,"Kaufman, Sean",1,2.63023785,0,1,4.952579237,1.0,1,306,1,0,0,0,1,0,177.6985084
6501,1623,"Kaufman, Sean",1,2.63023785,0,1,4.952579237,1.0,1,307,1,0,0,0,1,0,510.7252856
6508,1624,"Howard, Austin",1,2.235190798,0,0,0.0,1.0,1,0,1,0,0,0,0,1,0.0
6512,1625,"Gutierrez, Alberto",2,1.232881788,0,1,6.932080493,0.0,1,0,1,1,0,1,0,0,0.0
6516,1626,"Funes, Christopher",4,1.068252835,0,0,0.0,,1,0,3,0,0,1,0,0,0.0
6520,1627,"el-Ghattas, Jihaad",4,1.450410567,0,1,1.494602594,0.0,1,0,3,0,0,0,0,1,0.0
6524,1628,"Pahlavan, Ian",1,1.603133931,0,1,2.881351065,1.0,1,0,1,0,0,1,0,0,0.0
6528,1629,"Pineau, Latasha",4,0.89982786,0,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
6532,1630,"Matthews, Elise",2,0.610563495,0,1,1.043750627,1.0,1,0,1,0,0,0,1,0,0.0
6536,1631,"Ochoa, Brandon",1,1.417357619,0,1,2.409234321,,1,0,1,0,0,1,0,0,0.0
6540,1632,"el-Jalali, Aaisha",1,3.428834575,1,0,0.0,,1,0,1,0,1,0,0,0,0.0
6544,1633,"al-Abraham, Raadiya",1,2.103327185,0,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
6548,1634,"Bauer, Jennifer",3,2.875188997,1,0,0.0,0.0,0,0,2,0,0,1,0,0,0.0
6549,1635,"Oronia, Ernesto",3,2.359564885,0,0,0.0,0.0,0,309,2,0,1,0,0,0,231.7952342
6556,1636,"Bird, Leslie",1,3.414424442,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
6560,1637,"Carruthers, Kenneth",3,0.900807942,1,0,0.0,0.0,1,0,2,0,1,0,0,0,0.0
6564,1638,"Haley, Kenneth",4,0.899660564,1,1,6.102885112,0.0,0,0,3,0,0,0,0,1,0.0
6568,1639,"Cruz, Tristine",1,2.321348166,0,1,13.03917147,0.0,0,0,1,0,0,1,0,0,0.0
6572,1640,"Hall, Juan",5,1.673097562,0,1,3.533495072,1.0,1,0,3,0,0,0,1,0,0.0
6576,1641,"Manuel, Te'Kel",2,0.462305224,1,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
6580,1642,"Kocerha, Shelby",1,1.665207768,1,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
6584,1643,"Perez, Brianna",1,2.261331463,0,1,0.442812262,0.0,1,0,1,0,0,0,1,0,0.0
6588,1644,"el-Sader, Sham'a",4,2.249328811,0,0,0.0,1.0,1,0,3,0,0,0,1,0,0.0
6592,1645,"Hickman, Dayton",2,1.899432699,0,1,1.028767029,0.0,1,0,1,0,0,1,0,0,0.0
6593,1646,"Torres, Iliana",1,2.778348068,0,1,3.712206134,,1,310,1,0,0,1,0,0,544.2125305
6600,1647,"al-Rashed, Maajida",3,0.604852513,0,0,0.0,1.0,1,0,2,0,1,0,0,0,0.0
6604,1648,"al-Zaher, Sulama",2,2.660583346,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
6608,1649,"el-Shaban, Haibaa",3,1.979376984,0,0,0.0,0.0,1,0,2,1,0,0,0,1,0.0
6612,1650,"Blackwater, Valerie",4,2.368108458,1,1,5.033934627,1.0,0,0,3,0,0,0,1,0,0.0
6616,1651,"Huffstater, April",2,3.741871884,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
6620,1652,"Rankin, Magnolia",2,1.954716339,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
6624,1653,"Lapaz, Bethany",4,3.435115648,1,0,0.0,0.0,0,0,3,0,1,0,0,0,0.0
6628,1654,"Lam, Tae",3,2.20701144,0,0,0.0,0.0,0,0,2,0,1,0,0,0,0.0
6632,1655,"al-Selim, Bandar",5,3.139170912,1,0,0.0,1.0,0,0,3,0,0,0,1,0,0.0
6636,1656,"Mack, Damariz",3,3.288485063,0,0,0.0,0.0,1,0,2,0,0,0,0,1,0.0
6640,1657,"Ehizuelen, Ashante",2,3.417669309,1,0,0.0,0.0,1,0,1,0,0,1,0,0,0.0
6644,1658,"Vess, Micaela",2,2.390996816,1,0,0.0,1.0,0,0,1,0,1,0,0,0,0.0
6648,1659,"Reeves, Dayton",2,0.642676985,0,1,3.134958439,1.0,1,0,1,1,1,0,0,0,0.0
6652,1660,"el-Gaber, Saqr",3,0.856843088,0,0,0.0,1.0,1,0,2,0,0,1,0,0,0.0
6656,1661,"Sharp, Miguel",4,1.791265956,0,1,0.165948055,1.0,0,0,3,0,0,0,0,1,0.0
6660,1662,"Wilkins, Kamen",2,1.510553706,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
6664,1663,"Billings, Hannah",1,3.77381512,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
6668,1664,"Lofton, Marquis",5,3.529876679,0,1,4.210127126,1.0,1,0,3,1,1,0,0,0,0.0
6672,1665,"Henson, Gettay",5,0.4189222,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
6676,1666,"al-Azizi, Mumina",3,1.524804102,0,0,0.0,1.0,1,0,2,0,0,0,1,0,0.0
6677,1667,"Cannedy, Jaelyn",2,2.068506558,0,0,0.0,0.0,1,314,1,0,0,1,0,0,256.6769202
6681,1668,"Whyte, Aaron",1,2.24369612,0,0,0.0,1.0,0,315,1,1,0,0,1,0,780.9958246
6688,1669,"Madera, Kiana",1,2.941927001,1,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
6690,1670,"al-Naim, Saamir",4,3.005734915,0,1,3.682591144,0.0,0,317,3,0,0,0,0,1,958.2432834
6696,1671,"Scoville, Joel",3,2.957773229,0,0,0.0,0.0,1,0,2,0,0,0,1,0,0.0
6700,1672,"Brown, Brittany",5,2.587532499,0,0,0.0,1.0,0,0,3,0,1,0,0,0,0.0
6704,1673,"Garcia, Saul",4,3.098289377,0,1,2.205959663,1.0,1,0,3,1,0,0,0,1,0.0
6708,1674,"Valenzuela, Alondra",2,2.4993641,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
6709,1675,"Kumar, Tyler",1,2.409290618,1,0,0.0,1.0,1,318,1,1,0,0,1,0,484.6156047
6716,1676,"Broyles, Reginald",5,3.208783987,1,0,0.0,1.0,1,0,3,0,0,1,0,0,0.0
6720,1677,"Cone, Shirelle",1,0.539179214,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
6724,1678,"Flores, Edgar",5,2.144652486,0,1,4.626084756,0.0,0,0,3,0,0,0,1,0,0.0
6728,1679,"Wiebe, Jian",2,2.6952663,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
6732,1680,"Bowman, Madeleine",4,2.325281016,0,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
6736,1681,"Johnson, Michael",4,2.800066987,1,0,0.0,0.0,0,0,3,0,0,0,1,0,0.0
6738,1682,"Latorra, Michael",3,1.990247345,0,1,2.455283253,,1,320,2,1,0,0,1,0,878.4350956
6739,1682,"Latorra, Michael",3,1.990247345,0,1,2.455283253,,1,321,2,0,0,0,1,0,2243.698078
6745,1683,"al-Mansouri, Mardiyya",1,2.344735783,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
6749,1684,"Chisholm, Sabrina",4,3.014110224,0,1,3.625009995,1.0,1,0,3,0,0,0,0,1,0.0
6753,1685,"Saptarshi, Sanakee",3,3.424160542,0,1,1.710936744,0.0,1,0,2,0,0,0,0,1,0.0
6757,1686,"Vigil, Angelo",2,3.811361792,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
6761,1687,"Nuffer, Austin",2,2.667836848,0,0,0.0,0.0,0,0,1,0,1,0,0,0,0.0
6765,1688,"Jirsaraie, Brian",2,2.915766599,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
6769,1689,"Laclay, Sheila",4,2.975116392,1,1,1.658166043,0.0,0,0,3,0,0,1,0,0,0.0
6773,1690,"Puryear, Drew",2,2.688223447,1,0,0.0,0.0,1,0,1,0,0,1,0,0,0.0
6777,1691,"el-Mina, Kifaaya",2,2.318001818,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
6781,1692,"Caster, Samuel",3,2.979559944,0,0,0.0,0.0,1,0,2,0,1,0,0,0,0.0
6782,1693,"el-Fayad, Maahir",4,1.688836946,1,0,0.0,0.0,1,324,3,0,0,0,0,1,1890.88781
6789,1694,"Weiss, Lauren",4,1.867765091,0,1,8.88596838,1.0,1,0,3,0,0,0,0,1,0.0
6793,1695,"Leleua-Smith, Eric",3,3.33100272,0,1,0.959838029,0.0,1,0,2,0,1,0,0,0,0.0
6797,1696,"Johnson, Sir Carless",4,3.040681509,0,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
6801,1697,"el-Abdella, Aqeela",5,2.609145281,1,0,0.0,1.0,0,0,3,0,1,0,0,0,0.0
6805,1698,"al-Baig, Daif",5,3.028546537,0,0,0.0,1.0,1,0,3,0,0,0,0,1,0.0
6809,1699,"Brown, Dante",3,0.524406673,0,0,0.0,0.0,1,0,2,1,0,1,0,0,0.0
6813,1700,"Burton, Noelani",3,2.023291366,0,0,0.0,1.0,1,0,2,1,0,1,0,0,0.0
6817,1701,"Alban, Joice",5,2.77995791,0,0,0.0,1.0,0,0,3,0,0,0,1,0,0.0
6818,1702,"Johnson, Jovanah",1,3.549161066,0,1,13.26577896,0.0,1,325,1,1,0,0,0,1,506.795083
6825,1703,"Hiraki, Brian",3,3.611680599,1,1,3.983258076,1.0,0,0,2,0,0,1,0,0,0.0
6826,1704,"Bobb, Andrew",3,2.663346614,0,0,0.0,0.0,1,326,2,0,1,0,0,0,439.0663189
6833,1705,"Chen, David",1,2.381637603,0,0,0.0,0.0,1,0,1,1,0,0,0,1,0.0
6837,1706,"Kirby, Andrew",1,2.002756397,1,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
6841,1707,"al-Baluch, Mu'taz",5,0.041502616,1,0,0.0,0.0,0,0,3,0,0,0,1,0,0.0
6845,1708,"Avitia, Dennise",2,2.363599205,0,1,4.954847894,0.0,1,0,1,1,1,0,0,0,0.0
6849,1709,"Smith, Sarah",1,2.845576864,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
6853,1710,"Nazareta, Carleon",2,3.069193968,0,0,0.0,0.0,1,0,1,1,0,0,0,1,0.0
6857,1711,"Giles, Maxwell",2,1.68702296,1,1,1.089923477,1.0,0,0,1,0,0,0,1,0,0.0
6861,1712,"Pronteau, Jade",1,1.680480953,0,0,0.0,1.0,0,0,1,1,0,1,0,0,0.0
6865,1713,"Garner, Rylie",4,1.538657773,0,1,1.815321971,1.0,1,0,3,0,0,0,1,0,0.0
6869,1714,"Alvarado, Marlon",5,3.263583715,0,1,14.2379096,0.0,1,0,3,1,1,0,0,0,0.0
6873,1715,"Freeland, Monica",3,2.84521806,0,1,2.687028863,0.0,1,0,2,0,1,0,0,0,0.0
6877,1716,"Odom, Taylor",1,3.591860201,0,1,1.971532613,0.0,1,0,1,0,0,0,1,0,0.0
6881,1717,"Anthony, Takira",2,2.793750707,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0.0
6885,1718,"al-Samaan, Naseeba",3,1.795285971,1,0,0.0,0.0,0,0,2,0,1,0,0,0,0.0
6889,1719,"Cox, Christopher Lou",4,2.926459924,0,0,0.0,1.0,1,0,3,0,1,0,0,0,0.0
6893,1720,"Cornejo, Daniel",3,1.835059515,0,1,7.741232931,1.0,1,0,2,1,0,1,0,0,0.0
6897,1721,"Asmerom, Jordan",4,2.053689514,0,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
6901,1722,"Escoto, Evan",5,3.553446572,1,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
6905,1723,"Lu, Eulysa",4,3.242058283,1,0,0.0,1.0,0,0,3,0,0,0,1,0,0.0
6909,1724,"Bankett, Omar",3,2.784177383,1,0,0.0,1.0,1,0,2,0,0,1,0,0,0.0
6913,1725,"Smith, Mimi",3,2.578327646,0,0,0.0,1.0,1,0,2,0,0,1,0,0,0.0
6917,1726,"Wittman, Nicholas",5,1.021623281,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
6921,1727,"al-Tamer, Adham",4,3.044771668,0,0,0.0,0.0,0,0,3,0,0,1,0,0,0.0
6925,1728,"Hyle, Daniel",2,2.438481678,0,0,0.0,,0,0,1,1,0,0,0,1,0.0
6929,1729,"el-Bahri, Nadiyya",2,2.332025909,0,0,0.0,1.0,0,0,1,0,0,1,0,0,0.0
6933,1730,"Rodriguez, Esteban",5,2.916779884,0,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
6937,1731,"el-Riaz, Ghaaliba",2,2.675865977,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0.0
6941,1732,"Dawson, Briana",3,2.846958133,0,0,0.0,0.0,1,0,2,0,0,0,1,0,0.0
6945,1733,"el-Huq, Saami",4,1.815746137,0,0,0.0,0.0,0,0,3,1,1,0,0,0,0.0
6949,1734,"Small, Issac",5,3.254235971,0,1,1.041256016,0.0,1,0,3,1,0,0,0,1,0.0
6953,1735,"Dai, Benjamin",3,1.563530972,1,0,0.0,0.0,1,0,2,0,0,0,1,0,0.0
6957,1736,"Thomas, Megan",2,3.228225932,0,0,0.0,,0,0,1,0,0,0,1,0,0.0
6961,1737,"Houston, Miranda",1,2.7878004,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0.0
6965,1738,"Neyland, Imani",1,2.612185912,0,0,0.0,1.0,1,0,1,0,0,0,0,1,0.0
6969,1739,"Lascano, Dario",3,2.858362625,1,0,0.0,0.0,0,0,2,0,0,0,0,1,0.0
6970,1740,"Clark, Lauren",3,2.057487231,0,1,0.436045432,,1,328,2,0,0,1,0,0,643.3203678
6977,1741,"Sandoval, Hector",1,1.894149298,0,0,0.0,0.0,0,0,1,0,0,0,1,0,0.0
6979,1742,"Diaz, Luis",1,2.3926632,1,0,0.0,0.0,0,330,1,1,0,0,1,0,559.9026763
6985,1743,"Monjes, Jesus",3,2.17478738,0,1,6.300139926,,1,0,2,0,1,0,0,0,0.0
6989,1744,"Meyer, Michelle",2,3.352229719,0,0,0.0,,1,0,1,1,1,0,0,0,0.0
6993,1745,"Holguin, Deion",3,0.710033006,0,1,7.566932842,1.0,1,0,2,1,0,0,0,1,0.0
6997,1746,"Mitze, Noah",3,3.240961356,0,0,0.0,1.0,1,0,2,0,0,0,0,1,0.0
7001,1747,"Simpson, Kathleen",3,1.685639998,0,0,0.0,1.0,1,0,2,0,0,1,0,0,0.0
7005,1748,"Miera, Trenda",4,2.351287524,0,0,0.0,,1,0,3,0,1,0,0,0,0.0
7009,1749,"Rubalcaba, Francisco",5,0.995456313,0,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
7013,1750,"Lester, Sheridan",3,2.989149931,0,1,0.055629158,1.0,0,0,2,0,0,0,0,1,0.0
7017,1751,"Moyles III, Henry",5,2.045587568,0,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
7021,1752,"Salazar, Jennifer",4,2.084463238,0,1,0.255640586,1.0,1,0,3,1,1,0,0,0,0.0
7025,1753,"Granato, Adam",4,3.354169659,0,1,0.316525934,0.0,0,0,3,0,1,0,0,0,0.0
7029,1754,"Ly, Alyssa",4,2.790918864,0,1,12.63448796,0.0,1,0,3,0,0,0,0,1,0.0
7033,1755,"Hamer, Hannah",4,2.342352168,1,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
7037,1756,"Mcghee, Kaitlin",1,3.564644909,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0.0
7041,1757,"al-Akhtar, Saaliha",1,2.035169678,0,1,6.316725373,0.0,1,0,1,0,0,1,0,0,0.0
7042,1758,"Trujillo, Antonio",3,2.897220767,0,1,1.043381264,1.0,1,334,2,0,0,1,0,0,331.7119795
7049,1759,"Radspinner, Daysi",1,2.839951944,1,1,12.86082351,1.0,0,0,1,0,0,0,0,1,0.0
7053,1760,"Contreras, Kameron",1,3.137782474,1,1,2.411413021,1.0,1,0,1,0,1,0,0,0,0.0
7057,1761,"Tromble, Deja",5,1.144247807,0,0,0.0,1.0,1,0,3,0,0,0,1,0,0.0
7061,1762,"Fraley, Melissa",3,3.421826462,0,1,4.441374224,0.0,1,0,2,0,0,0,0,1,0.0
7065,1763,"Quintana Rodriguez, Guillermo",4,3.017397679,0,0,0.0,0.0,0,0,3,0,0,1,0,0,0.0
7069,1764,"al-Irani, Adeeba",3,1.508070929,0,1,4.27390141,0.0,1,0,2,0,0,0,1,0,0.0
7073,1765,"el-Sham, Mayyaada",3,1.849040141,0,1,3.236443586,0.0,0,0,2,0,1,0,0,0,0.0
7077,1766,"el-Alam, Fikriyya",4,1.328592443,0,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
7081,1767,"Kendle, A'Lexus",2,2.896113871,0,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
7085,1768,"Delreal, Jasmine",4,1.541882157,1,1,0.683630854,1.0,0,0,3,1,1,0,0,0,0.0
7089,1769,"Garcia, Lenin",2,3.268960891,0,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
7093,1770,"Pickett-Buthman, Jordan",1,2.189528373,0,1,6.724945336,0.0,0,0,1,0,0,0,1,0,0.0
7097,1771,"el-Sala, Isaam",1,3.767560895,0,0,0.0,1.0,1,0,1,0,0,0,0,1,0.0
7101,1772,"Roberts, Danielle",4,3.027007311,0,1,0.728687812,1.0,0,0,3,0,1,0,0,0,0.0
7105,1773,"el-Salman, Raabia",1,2.890337458,1,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
7109,1774,"Florez, Victoria",2,1.817392086,0,0,0.0,0.0,0,0,1,0,1,0,0,0,0.0
7113,1775,"Cruz, Tegan",4,1.256791423,0,0,0.0,0.0,0,0,3,1,0,1,0,0,0.0
7114,1776,"Shaffer-Poteet, Kaitlin",1,2.825851748,1,0,0.0,0.0,1,335,1,0,0,0,1,0,1427.636833
7121,1777,"Alexander, Leticya",2,3.481047965,1,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
7125,1778,"Lefano, Sandra",1,2.298416676,1,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
7129,1779,"el-Abdi, Zuhair",4,2.778518368,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
7133,1780,"Boyer, Kenneth",4,0.76803624,0,0,0.0,0.0,0,0,3,1,0,0,0,1,0.0
7137,1781,"Pacht, Abhi",2,1.377330697,0,0,0.0,0.0,1,0,1,0,1,0,0,0,0.0
7141,1782,"Carter, Rocky",2,3.5617183,1,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
7145,1783,"Chavez, Gabriel",1,0.735367946,0,1,0.652331254,0.0,1,0,1,1,0,0,1,0,0.0
7149,1784,"Tercero, Marco",4,2.860510131,0,0,0.0,1.0,1,0,3,0,0,0,1,0,0.0
7153,1785,"Williams, Keyona",2,2.61683943,1,0,0.0,0.0,0,0,1,0,0,0,1,0,0.0
7157,1786,"Mourn, Sullivan",2,2.494484673,0,0,0.0,1.0,1,0,1,1,0,0,1,0,0.0
7161,1787,"Blanco Herrera, Joseph",1,0.660342587,0,0,0.0,1.0,0,0,1,0,0,1,0,0,0.0
7165,1788,"Furney, Megan",2,1.395489035,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
7169,1789,"Perez Alvarez, Omar",2,2.931877402,0,1,0.143603464,1.0,1,0,1,0,0,1,0,0,0.0
7173,1790,"Cardoza, Luke",3,1.378915141,0,0,0.0,0.0,1,0,2,1,0,0,1,0,0.0
7177,1791,"Yee, Diamond",5,3.176509822,0,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
7181,1792,"al-Mattar, Haamid",4,1.522759548,0,0,0.0,1.0,1,0,3,0,0,0,0,1,0.0
7185,1793,"Tafoya, Alba",2,2.465579134,0,1,5.701665833,0.0,1,0,1,0,1,0,0,0,0.0
7189,1794,"el-Ramadan, Jawhara",4,2.749436545,0,0,0.0,1.0,0,0,3,1,0,0,0,1,0.0
7193,1795,"Philbrook, Mercy",4,1.96243922,0,0,0.0,1.0,0,0,3,0,0,0,0,1,0.0
7197,1796,"Aguilar, Jeremy",4,3.37848933,0,0,0.0,0.0,1,0,3,1,0,1,0,0,0.0
7201,1797,"al-Khalifa, Majeeda",4,3.632037924,0,1,7.502220429,1.0,1,0,3,0,1,0,0,0,0.0
7205,1798,"Rocha, Rylie",3,0.635149631,0,0,0.0,1.0,1,0,2,0,0,0,0,1,0.0
7209,1799,"Begay, Olivia",5,3.120360067,0,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
7210,1800,"el-Hosseini, Anas",4,1.258530198,0,0,0.0,0.0,1,339,3,0,0,0,1,0,524.0521301
7217,1801,"el-Dawood, Dhaakir",5,1.80559241,0,0,0.0,0.0,1,0,3,0,0,1,0,0,0.0
7221,1802,"Najera Molina, Brandon",1,2.248175824,0,1,2.196348188,1.0,1,0,1,0,0,0,0,1,0.0
7225,1803,"el-Majid, Tharwa",2,3.152362197,1,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
7229,1804,"Davidson, Asher",1,2.04336459,0,1,1.032565415,0.0,0,0,1,0,1,0,0,0,0.0
7233,1805,"Castaneda Reyes, Chris",1,2.192265473,0,0,0.0,1.0,0,0,1,0,0,1,0,0,0.0
7237,1806,"Villarreal, Rogelio",1,3.095965434,0,0,0.0,0.0,1,0,1,1,0,1,0,0,0.0
7241,1807,"Stephenson, Markeith",2,1.531435882,0,0,0.0,,1,0,1,0,1,0,0,0,0.0
7245,1808,"Jessen, Catherine",4,3.23474067,0,1,0.054198062,0.0,0,0,3,0,0,0,1,0,0.0
7249,1809,"Long, Kenisa",2,0.476645467,0,0,0.0,,0,0,1,0,0,1,0,0,0.0
7253,1810,"Munoz, Brian",4,1.795677227,0,0,0.0,1.0,1,0,3,0,0,0,0,1,0.0
7257,1811,"el-Hamed, Hilmi",4,1.199299374,0,1,4.091219816,0.0,1,0,3,0,1,0,0,0,0.0
7261,1812,"el-Ayoob, Almaasa",4,1.051368527,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
7265,1813,"al-Pour, Naaila",2,2.244432493,0,0,0.0,,1,0,1,0,0,1,0,0,0.0
7269,1814,"el-Salama, Nawaar",3,1.998511353,0,1,3.881427634,1.0,1,0,2,0,1,0,0,0,0.0
7273,1815,"Martin, Darius",1,3.288915831,1,1,3.999045494,1.0,0,0,1,0,0,0,0,1,0.0
7277,1816,"Mackin, Erica",2,3.095254838,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
7281,1817,"Greenbaum, Riane",5,3.697780097,0,0,0.0,1.0,1,0,3,0,0,0,0,1,0.0
7285,1818,"al-Hatem, Nassaar",1,2.027796161,0,0,0.0,1.0,1,0,1,1,0,1,0,0,0.0
7286,1819,"Brown, Orin",5,2.472599812,0,0,0.0,1.0,1,341,3,1,1,0,0,0,355.2445787
7293,1820,"el-Shaikh, Musheer",2,0.886659285,0,1,0.103444343,0.0,0,0,1,0,0,0,1,0,0.0
7297,1821,"el-Rahaim, Shaheera",3,3.485086659,1,1,3.429999266,0.0,0,0,2,0,0,1,0,0,0.0
7301,1822,"Parker, Courtney",3,2.930660352,1,0,0.0,1.0,1,0,2,0,1,0,0,0,0.0
7305,1823,"Philpott, Brandi",3,1.412739774,0,0,0.0,0.0,1,0,2,0,1,0,0,0,0.0
7309,1824,"Shivers, Anthony",1,2.418990886,1,1,7.337730519,0.0,0,0,1,0,0,1,0,0,0.0
7310,1825,"Garcia Enciso, Daniel",4,3.658369027,1,0,0.0,1.0,0,343,3,0,0,0,0,1,680.6899362
